word	score	*[+continuant,+voice,-anterior]	*[+sonorant,+dorsal]	*[^-voice,+anterior,+strident][-approximant]	*[-word_boundary][+continuant]	*[-word_boundary][+voice]	*[-strident][+consonantal]	*[+sonorant][-word_boundary]	*[+labial][^+approximant,+coronal]	*[-word_boundary][+strident]	*[-anterior][^+approximant,-anterior]	*[+continuant,+voice][-word_boundary]	*[-continuant,-anterior][-word_boundary]	*[-word_boundary][-back]	*[+anterior,+strident][-anterior]	*[+spread][^+back]	*[+continuant,+voice,+coronal]	*[+voice][^+approximant,+coronal]	*[+continuant,-strident][^+approximant,-anterior]	*[-word_boundary][+coronal][^+approximant,-anterior]	*[-word_boundary][^-continuant,-voice,+labial][+consonantal]	*[+continuant,-strident]	*[+strident][-anterior]	*[-continuant,-voice,+coronal][^+approximant,-anterior]	annotation
word	score	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	default	annotation
word	score	3.282	5.64	5.91	5.168	5.367	4.396	6.661	4.958	1.313	4.844	4.843	3.174	5.036	2.802	4.82	2.692	2.967	2.06	2.057	3.051	1.845	2.096	1.703	annotation
K 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2764
R 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2752
D 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2526
S 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2215
M 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1965
P 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1881
B 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1544
L 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1225
F 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1222
HH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1153
